route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"92-19-j22-1","TA+e3","16.TA.92-19-j22-1.1.H","Genève"," Jonction","20920",9352
"92-19-j22-1","TA+qW","160.TA.92-19-j22-1.3.H","Genève"," Jonction","20553",9352
"92-19-j22-1","TA+qW","161.TA.92-19-j22-1.3.H","Genève"," Jonction","19873",9352
"92-19-j22-1","TA+jp000","162.TA.92-19-j22-1.3.H","Genève"," Jonction","19157",9352
"92-19-j22-1","TA+w0100","163.TA.92-19-j22-1.3.H","Genève"," Jonction","19157",9352
"92-19-j22-1","TA+w0100","164.TA.92-19-j22-1.3.H","Genève"," Jonction","19118",9352
"92-19-j22-1","TA+qW","165.TA.92-19-j22-1.3.H","Genève"," Jonction","20354",9352
"92-19-j22-1","TA+jp000","166.TA.92-19-j22-1.3.H","Genève"," Jonction","19118",9352
"92-19-j22-1","TA+jp000","167.TA.92-19-j22-1.3.H","Genève"," Jonction","18232",9352
"92-19-j22-1","TA+w0100","168.TA.92-19-j22-1.3.H","Genève"," Jonction","18232",9352
"92-19-j22-1","TA+qW","169.TA.92-19-j22-1.3.H","Genève"," Jonction","20548",9352
"92-19-j22-1","TA+e3","17.TA.92-19-j22-1.1.H","Genève"," Jonction","20908",9352
"92-19-j22-1","TA+jp000","170.TA.92-19-j22-1.3.H","Genève"," Jonction","19179",9352
"92-19-j22-1","TA+w0100","171.TA.92-19-j22-1.3.H","Genève"," Jonction","19141",9352
"92-19-j22-1","TA+jp000","172.TA.92-19-j22-1.3.H","Genève"," Jonction","18961",9352
"92-19-j22-1","TA+w0100","173.TA.92-19-j22-1.3.H","Genève"," Jonction","18961",9352
"92-19-j22-1","TA+qW","174.TA.92-19-j22-1.3.H","Genève"," Jonction","20470",9352
"92-19-j22-1","TA+w0100","175.TA.92-19-j22-1.3.H","Genève"," Jonction","19179",9352
"92-19-j22-1","TA+jp000","176.TA.92-19-j22-1.3.H","Genève"," Jonction","19141",9352
"92-19-j22-1","TA+qW","177.TA.92-19-j22-1.3.H","Genève"," Jonction","20494",9352
"92-19-j22-1","TA+qW","178.TA.92-19-j22-1.3.H","Genève"," Jonction","20490",9352
"92-19-j22-1","TA+qW","179.TA.92-19-j22-1.3.H","Genève"," Jonction","20466",9352
"92-19-j22-1","TA+e3","18.TA.92-19-j22-1.1.H","Genève"," Jonction","20815",9352
"92-19-j22-1","TA+qV","180.TA.92-19-j22-1.4.H","Onex"," cité","17588",9352
"92-19-j22-1","TA+e3","181.TA.92-19-j22-1.4.H","Onex"," cité","21539",9352
"92-19-j22-1","TA+jp000","182.TA.92-19-j22-1.4.H","Onex"," cité","18411",9352
"92-19-j22-1","TA+e3","183.TA.92-19-j22-1.4.H","Onex"," cité","21552",9352
"92-19-j22-1","TA+w0100","184.TA.92-19-j22-1.4.H","Onex"," cité","18411",9352
"92-19-j22-1","TA+w0100","185.TA.92-19-j22-1.4.H","Onex"," cité","19189",9352
"92-19-j22-1","TA+jp000","186.TA.92-19-j22-1.4.H","Onex"," cité","19189",9352
"92-19-j22-1","TA+qW","187.TA.92-19-j22-1.4.H","Onex"," cité","20440",9352
"92-19-j22-1","TA+qW","188.TA.92-19-j22-1.4.H","Onex"," cité","20530",9352
"92-19-j22-1","TA+qV","189.TA.92-19-j22-1.4.H","Onex"," cité","17079",9352
"92-19-j22-1","TA+e3","19.TA.92-19-j22-1.1.H","Genève"," Jonction","20790",9352
"92-19-j22-1","TA+w0100","190.TA.92-19-j22-1.4.H","Onex"," cité","19200",9352
"92-19-j22-1","TA+e3","191.TA.92-19-j22-1.4.H","Onex"," cité","21479",9352
"92-19-j22-1","TA+jp000","192.TA.92-19-j22-1.4.H","Onex"," cité","19200",9352
"92-19-j22-1","TA+qV","193.TA.92-19-j22-1.4.H","Onex"," cité","16841",9352
"92-19-j22-1","TA+qW","194.TA.92-19-j22-1.4.H","Onex"," cité","19769",9352
"92-19-j22-1","TA+jp000","195.TA.92-19-j22-1.4.H","Onex"," cité","18322",9352
"92-19-j22-1","TA+w0100","196.TA.92-19-j22-1.4.H","Onex"," cité","18322",9352
"92-19-j22-1","TA+e3","197.TA.92-19-j22-1.4.H","Onex"," cité","21455",9352
"92-19-j22-1","TA+qW","198.TA.92-19-j22-1.4.H","Onex"," cité","20376",9352
"92-19-j22-1","TA+jp000","199.TA.92-19-j22-1.4.H","Onex"," cité","19003",9352
"92-19-j22-1","TA+qV","2.TA.92-19-j22-1.1.H","Genève"," Jonction","17363",9352
"92-19-j22-1","TA+jp000","20.TA.92-19-j22-1.1.H","Genève"," Jonction","18686",9352
"92-19-j22-1","TA+e3","200.TA.92-19-j22-1.4.H","Onex"," cité","21411",9352
"92-19-j22-1","TA+qW","201.TA.92-19-j22-1.4.H","Onex"," cité","20518",9352
"92-19-j22-1","TA+w0100","202.TA.92-19-j22-1.4.H","Onex"," cité","19003",9352
"92-19-j22-1","TA+qV","203.TA.92-19-j22-1.4.H","Onex"," cité","17033",9352
"92-19-j22-1","TA+qV","204.TA.92-19-j22-1.4.H","Onex"," cité","16745",9352
"92-19-j22-1","TA+qV","205.TA.92-19-j22-1.4.H","Onex"," cité","17526",9352
"92-19-j22-1","TA+qV","206.TA.92-19-j22-1.4.H","Onex"," cité","17035",9352
"92-19-j22-1","TA+qV","207.TA.92-19-j22-1.4.H","Onex"," cité","16747",9352
"92-19-j22-1","TA+qV","208.TA.92-19-j22-1.4.H","Onex"," cité","17528",9352
"92-19-j22-1","TA+e3","209.TA.92-19-j22-1.4.H","Onex"," cité","21502",9352
"92-19-j22-1","TA+w0100","21.TA.92-19-j22-1.1.H","Genève"," Jonction","17868",9352
"92-19-j22-1","TA+e3","210.TA.92-19-j22-1.4.H","Onex"," cité","21435",9352
"92-19-j22-1","TA+e3","211.TA.92-19-j22-1.4.H","Onex"," cité","21415",9352
"92-19-j22-1","TA+e3","212.TA.92-19-j22-1.4.H","Onex"," cité","21459",9352
"92-19-j22-1","TA+qV","213.TA.92-19-j22-1.4.H","Onex"," cité","17037",9352
"92-19-j22-1","TA+qV","214.TA.92-19-j22-1.4.H","Onex"," cité","17110",9352
"92-19-j22-1","TA+qV","215.TA.92-19-j22-1.4.H","Onex"," cité","17126",9352
"92-19-j22-1","TA+qV","216.TA.92-19-j22-1.4.H","Onex"," cité","16806",9352
"92-19-j22-1","TA+w0100","217.TA.92-19-j22-1.4.H","Onex"," cité","18409",9352
"92-19-j22-1","TA+jp000","218.TA.92-19-j22-1.4.H","Onex"," cité","18409",9352
"92-19-j22-1","TA+qV","219.TA.92-19-j22-1.4.H","Onex"," cité","16825",9352
"92-19-j22-1","TA+jp000","22.TA.92-19-j22-1.1.H","Genève"," Jonction","18662",9352
"92-19-j22-1","TA+e3","220.TA.92-19-j22-1.4.H","Onex"," cité","21537",9352
"92-19-j22-1","TA+w0100","221.TA.92-19-j22-1.4.H","Onex"," cité","19187",9352
"92-19-j22-1","TA+jp000","222.TA.92-19-j22-1.4.H","Onex"," cité","19187",9352
"92-19-j22-1","TA+e3","223.TA.92-19-j22-1.4.H","Onex"," cité","21550",9352
"92-19-j22-1","TA+qW","224.TA.92-19-j22-1.4.H","Onex"," cité","20438",9352
"92-19-j22-1","TA+qW","225.TA.92-19-j22-1.4.H","Onex"," cité","20528",9352
"92-19-j22-1","TA+e3","226.TA.92-19-j22-1.4.H","Onex"," cité","21477",9352
"92-19-j22-1","TA+qV","227.TA.92-19-j22-1.4.H","Onex"," cité","17142",9352
"92-19-j22-1","TA+w0100","228.TA.92-19-j22-1.4.H","Onex"," cité","19198",9352
"92-19-j22-1","TA+jp000","229.TA.92-19-j22-1.4.H","Onex"," cité","19198",9352
"92-19-j22-1","TA+w0100","23.TA.92-19-j22-1.1.H","Genève"," Jonction","18662",9352
